Region,Country,State,City,Month,Day,Year,AvgTemperature
Australia/South Pacific,Australia,,Canberra,6,15,2006,30.7
Australia/South Pacific,Australia,,Canberra,7,16,2007,33.4
Australia/South Pacific,Australia,,Canberra,6,14,2006,34.3
Australia/South Pacific,Australia,,Canberra,6,25,2006,34.8
Australia/South Pacific,Australia,,Canberra,7,15,2007,35.2
Australia/South Pacific,Australia,,Canberra,6,22,2007,35.3
Australia/South Pacific,Australia,,Canberra,6,10,2009,35.3
Australia/South Pacific,Australia,,Canberra,8,18,2008,35.5
Australia/South Pacific,Australia,,Canberra,6,12,2006,35.9
Australia/South Pacific,Australia,,Canberra,7,14,2007,36.1
Australia/South Pacific,Australia,,Canberra,6,27,2006,36.3
Australia/South Pacific,Australia,,Canberra,6,11,2009,36.4
Australia/South Pacific,Australia,,Canberra,6,12,2009,36.4
Australia/South Pacific,Australia,,Canberra,6,13,2006,36.5
Australia/South Pacific,Australia,,Canberra,6,26,2006,36.6
Australia/South Pacific,Australia,,Canberra,6,17,2006,36.7
Australia/South Pacific,Australia,,Canberra,6,23,2007,36.7
Australia/South Pacific,Australia,,Canberra,7,12,2006,36.8
Australia/South Pacific,Australia,,Canberra,7,22,2007,36.8
Australia/South Pacific,Australia,,Canberra,7,6,2009,36.8
Australia/South Pacific,Australia,,Canberra,7,7,2006,36.9
Australia/South Pacific,Australia,,Canberra,7,12,2007,36.9
Australia/South Pacific,Australia,,Canberra,7,17,2005,37.2
Australia/South Pacific,Australia,,Canberra,6,16,2006,37.2
Australia/South Pacific,Australia,,Canberra,6,4,2007,37.2
Australia/South Pacific,Australia,,Canberra,7,22,2008,37.2
Australia/South Pacific,Australia,,Canberra,8,12,2005,37.3
Australia/South Pacific,Australia,,Canberra,7,22,2005,37.4
Australia/South Pacific,Australia,,Canberra,7,8,2006,37.4
Australia/South Pacific,Australia,,Canberra,6,21,2007,37.4
Australia/South Pacific,Australia,,Canberra,7,20,2005,37.7
Australia/South Pacific,Australia,,Canberra,7,13,2007,37.8
Australia/South Pacific,Australia,,Canberra,7,18,2007,37.8
Australia/South Pacific,Australia,,Canberra,7,23,2005,38
Australia/South Pacific,Australia,,Canberra,6,12,2007,38
Australia/South Pacific,Australia,,Canberra,8,9,2008,38
Australia/South Pacific,Australia,,Canberra,7,23,2009,38
Australia/South Pacific,Australia,,Canberra,8,10,2005,38.1
Australia/South Pacific,Australia,,Canberra,8,11,2005,38.1
Australia/South Pacific,Australia,,Canberra,8,10,2008,38.1
Australia/South Pacific,Australia,,Canberra,8,8,2009,38.1
Australia/South Pacific,Australia,,Canberra,7,21,2005,38.4
Australia/South Pacific,Australia,,Canberra,8,5,2005,38.4
Australia/South Pacific,Australia,,Canberra,6,11,2006,38.4
Australia/South Pacific,Australia,,Canberra,7,25,2008,38.4
Australia/South Pacific,Australia,,Canberra,7,18,2005,38.5
Australia/South Pacific,Australia,,Canberra,6,24,2006,38.7
Australia/South Pacific,Australia,,Canberra,8,17,2008,38.7
Australia/South Pacific,Australia,,Canberra,7,19,2005,38.8
Australia/South Pacific,Australia,,Canberra,7,3,2008,38.8
Australia/South Pacific,Australia,,Canberra,8,9,2009,38.8
Australia/South Pacific,Australia,,Canberra,8,4,2005,38.9
Australia/South Pacific,Australia,,Canberra,6,29,2006,38.9
Australia/South Pacific,Australia,,Canberra,7,20,2007,38.9
Australia/South Pacific,Australia,,Canberra,7,11,2008,38.9
Australia/South Pacific,Australia,,Canberra,6,13,2009,38.9
Australia/South Pacific,Australia,,Canberra,6,28,2006,39
Australia/South Pacific,Australia,,Canberra,7,26,2008,39.1
Australia/South Pacific,Australia,,Canberra,7,11,2005,39.2
Australia/South Pacific,Australia,,Canberra,7,8,2008,39.3
Australia/South Pacific,Australia,,Canberra,7,17,2007,39.4
Australia/South Pacific,Australia,,Canberra,7,27,2008,39.4
Australia/South Pacific,Australia,,Canberra,7,5,2009,39.4
Australia/South Pacific,Australia,,Canberra,6,1,2005,39.5
Australia/South Pacific,Australia,,Canberra,7,3,2005,39.5
Australia/South Pacific,Australia,,Canberra,7,7,2009,39.5
Australia/South Pacific,Australia,,Canberra,8,7,2006,39.6
Australia/South Pacific,Australia,,Canberra,8,4,2008,39.6
Australia/South Pacific,Australia,,Canberra,6,22,2005,39.7
Australia/South Pacific,Australia,,Canberra,7,15,2009,39.7
Australia/South Pacific,Australia,,Canberra,7,19,2006,39.9
Australia/South Pacific,Australia,,Canberra,7,24,2008,39.9
Australia/South Pacific,Australia,,Canberra,7,14,2009,39.9
Australia/South Pacific,Australia,,Sydney,7,17,2007,39.9
Australia/South Pacific,Australia,,Canberra,7,23,2008,40
Australia/South Pacific,Australia,,Canberra,7,30,2008,40
Australia/South Pacific,Australia,,Canberra,6,23,2009,40.1
Australia/South Pacific,Australia,,Canberra,7,19,2008,40.2
Australia/South Pacific,Australia,,Sydney,8,10,2005,40.2
Australia/South Pacific,Australia,,Canberra,6,13,2007,40.3
Australia/South Pacific,Australia,,Canberra,7,12,2008,40.3
Australia/South Pacific,Australia,,Canberra,7,16,2008,40.3
Australia/South Pacific,Australia,,Canberra,8,23,2008,40.3
Australia/South Pacific,Australia,,Canberra,8,2,2005,40.4
