Region,Country,State,City,Month,Day,Year,AvgTemperature
Middle East,Turkey,,Ankara,2,16,2006,3.2
Middle East,Turkey,,Ankara,1,14,2008,3.9
Middle East,Turkey,,Ankara,1,30,2006,4.1
Middle East,Turkey,,Ankara,1,29,2006,4.5
Middle East,Turkey,,Ankara,1,13,2008,4.9
Middle East,Turkey,,Ankara,1,31,2006,5.3
Middle East,Turkey,,Ankara,1,6,2008,6.2
Middle East,Turkey,,Ankara,1,12,2008,8
Middle East,Turkey,,Ankara,1,27,2006,8.1
Middle East,Turkey,,Ankara,1,15,2008,9.1
Middle East,Turkey,,Ankara,1,28,2006,9.7
Middle East,Turkey,,Ankara,1,31,2008,10.2
Middle East,Turkey,,Ankara,1,11,2008,10.7
Middle East,Turkey,,Ankara,2,17,2006,12.6
Middle East,Turkey,,Ankara,2,1,2008,13.4
Middle East,Turkey,,Ankara,2,1,2006,13.5
Middle East,Turkey,,Ankara,2,14,2006,13.9
Middle East,Turkey,,Ankara,2,15,2006,14.2
Middle East,Turkey,,Ankara,1,2,2009,15
Middle East,Turkey,,Ankara,12,21,2005,15.2
Middle East,Turkey,,Ankara,12,30,2008,15.2
Middle East,Turkey,,Ankara,2,2,2008,15.5
Middle East,Turkey,,Ankara,1,20,2008,15.8
Middle East,Turkey,,Ankara,12,31,2008,15.8
Middle East,Turkey,,Ankara,1,30,2008,15.9
Middle East,Turkey,,Ankara,1,18,2008,16.2
Middle East,Turkey,,Ankara,1,7,2008,16.5
Middle East,Turkey,,Ankara,2,19,2008,16.6
Middle East,Turkey,,Ankara,1,23,2008,17
Middle East,Turkey,,Ankara,2,18,2008,17.5
Middle East,Turkey,,Ankara,12,27,2006,17.6
Middle East,Turkey,,Ankara,1,1,2009,17.6
Middle East,Turkey,,Ankara,1,19,2008,18
Middle East,Turkey,,Ankara,2,3,2008,18.1
Middle East,Turkey,,Ankara,12,25,2005,18.4
Middle East,Turkey,,Ankara,1,26,2008,18.4
Middle East,Turkey,,Ankara,12,29,2006,18.5
Middle East,Turkey,,Ankara,1,5,2008,18.5
Middle East,Turkey,,Ankara,1,22,2008,18.7
Middle East,Turkey,,Ankara,1,24,2006,18.9
Middle East,Turkey,,Ankara,12,28,2006,19.4
Middle East,Turkey,,Ankara,12,20,2005,19.5
Middle East,Turkey,,Ankara,12,24,2005,19.8
Middle East,Turkey,,Ankara,2,5,2008,20.1
Middle East,Turkey,,Ankara,2,9,2005,20.2
Middle East,Turkey,,Ankara,1,4,2008,20.4
Middle East,Turkey,,Ankara,12,23,2005,20.5
Middle East,Turkey,,Ankara,2,5,2007,20.5
Middle East,Turkey,,Ankara,1,25,2006,20.6
Middle East,Turkey,,Ankara,12,30,2006,20.7
Middle East,Turkey,,Ankara,1,21,2008,20.7
Middle East,Turkey,,Ankara,2,6,2008,20.7
Middle East,Turkey,,Ankara,1,27,2008,20.9
Middle East,Turkey,,Ankara,12,22,2005,21
Middle East,Turkey,,Ankara,2,10,2005,21.1
Middle East,Turkey,,Ankara,1,9,2008,21.2
Middle East,Turkey,,Ankara,2,13,2006,21.3
Middle East,Turkey,,Ankara,1,1,2007,21.3
Middle East,Turkey,,Ankara,2,7,2007,21.3
Middle East,Turkey,,Ankara,2,4,2008,21.5
Middle East,Turkey,,Ankara,1,17,2006,21.6
Middle East,Turkey,,Ankara,1,26,2006,21.6
Middle East,Turkey,,Ankara,12,31,2007,21.6
Middle East,Turkey,,Ankara,1,24,2005,21.9
Middle East,Turkey,,Ankara,2,2,2005,21.9
Middle East,Turkey,,Ankara,12,30,2007,22
Middle East,Turkey,,Ankara,1,1,2008,22.2
Middle East,Turkey,,Ankara,1,22,2006,22.3
Middle East,Turkey,,Ankara,12,27,2007,22.3
Middle East,Turkey,,Ankara,2,17,2008,22.3
Middle East,Turkey,,Ankara,12,29,2008,22.3
Middle East,Turkey,,Ankara,1,17,2008,22.5
Middle East,Turkey,,Ankara,12,26,2007,22.6
Middle East,Turkey,,Ankara,1,18,2007,22.7
Middle East,Turkey,,Ankara,2,12,2005,22.8
Middle East,Turkey,,Ankara,12,23,2006,23.2
Middle East,Turkey,,Ankara,2,7,2008,23.2
Middle East,Turkey,,Ankara,2,8,2008,23.2
Middle East,Turkey,,Ankara,12,26,2006,23.3
Middle East,Turkey,,Ankara,1,8,2008,23.3
Middle East,Turkey,,Ankara,1,10,2008,23.3
Middle East,Turkey,,Ankara,1,25,2008,23.3
Middle East,Turkey,,Ankara,12,24,2006,23.4
Middle East,Turkey,,Ankara,1,29,2007,23.4
Middle East,Turkey,,Ankara,1,16,2006,23.5
Middle East,Turkey,,Ankara,1,18,2006,23.6
Middle East,Turkey,,Ankara,2,6,2005,23.7
Middle East,Turkey,,Ankara,2,6,2007,23.7
Middle East,Turkey,,Ankara,2,8,2005,23.8
Middle East,Turkey,,Ankara,1,21,2006,23.8
Middle East,Turkey,,Ankara,1,12,2009,23.8
Middle East,Turkey,,Ankara,2,11,2005,23.9
Middle East,Turkey,,Ankara,12,28,2007,23.9
Middle East,Turkey,,Ankara,12,29,2007,24
Middle East,Turkey,,Ankara,2,2,2006,24.1
Middle East,Turkey,,Ankara,1,24,2008,24.1
Middle East,Turkey,,Ankara,12,25,2006,24.3
Middle East,Turkey,,Ankara,1,15,2006,24.4
Middle East,Turkey,,Ankara,2,7,2005,24.5
Middle East,Turkey,,Ankara,11,22,2005,24.6
Middle East,Turkey,,Ankara,3,12,2005,24.7
Middle East,Turkey,,Ankara,2,4,2006,24.7
Middle East,Turkey,,Ankara,2,8,2007,24.8
Middle East,Turkey,,Ankara,1,31,2007,24.9
Middle East,Turkey,,Ankara,1,2,2008,24.9
Middle East,Turkey,,Ankara,12,31,2006,25
Middle East,Turkey,,Ankara,1,13,2009,25
Middle East,Turkey,,Ankara,12,25,2007,25.1
Middle East,Turkey,,Ankara,12,27,2005,25.2
Middle East,Turkey,,Ankara,1,3,2009,25.2
Middle East,Turkey,,Ankara,12,28,2008,25.4
Middle East,Turkey,,Ankara,2,5,2006,25.5
Middle East,Turkey,,Ankara,12,24,2007,25.5
Middle East,Turkey,,Ankara,1,16,2008,25.5
Middle East,Turkey,,Ankara,1,29,2008,25.5
Middle East,Turkey,,Ankara,1,30,2007,25.6
Middle East,Turkey,,Ankara,2,4,2007,25.6
Middle East,Turkey,,Ankara,12,27,2008,25.6
Middle East,Turkey,,Ankara,1,17,2007,25.9
Middle East,Turkey,,Ankara,1,3,2008,26
Middle East,Turkey,,Ankara,1,20,2006,26.1
Middle East,Turkey,,Ankara,1,9,2006,26.3
Middle East,Turkey,,Ankara,11,29,2007,26.3
Middle East,Turkey,,Ankara,1,25,2005,26.4
Middle East,Turkey,,Ankara,12,26,2005,26.4
Middle East,Turkey,,Ankara,1,10,2009,26.5
Middle East,Turkey,,Ankara,12,11,2008,26.6
Middle East,Turkey,,Ankara,1,11,2009,26.6
Middle East,Turkey,,Ankara,2,3,2006,26.7
Middle East,Turkey,,Ankara,2,25,2007,26.7
Middle East,Turkey,,Ankara,12,12,2008,26.7
Middle East,Syria,,Damascus,1,14,2008,26.8
Middle East,Turkey,,Ankara,2,13,2005,26.8
Middle East,Turkey,,Ankara,1,11,2007,26.8
Middle East,Turkey,,Ankara,2,9,2008,26.8
Middle East,Turkey,,Ankara,12,25,2008,26.8
Middle East,Turkey,,Ankara,12,23,2007,27
Middle East,Turkey,,Ankara,1,23,2006,27.1
Middle East,Turkey,,Ankara,12,16,2006,27.1
Middle East,Turkey,,Ankara,12,16,2008,27.1
Middle East,Turkey,,Ankara,12,14,2005,27.2
Middle East,Turkey,,Ankara,1,12,2007,27.2
Middle East,Turkey,,Ankara,3,11,2005,27.3
Middle East,Turkey,,Ankara,2,3,2007,27.3
Middle East,Turkey,,Ankara,12,26,2008,27.3
Middle East,Turkey,,Ankara,1,2,2007,27.5
Middle East,Turkey,,Ankara,11,25,2007,27.5
Middle East,Syria,,Damascus,1,15,2008,27.6
Middle East,Turkey,,Ankara,2,1,2005,27.7
