Region,Country,State,City,Month,Day,Year,AvgTemperature
Australia/South Pacific,Australia,,Canberra,7,27,2000,32.2
Australia/South Pacific,Australia,,Canberra,7,12,2000,34.8
Australia/South Pacific,Australia,,Canberra,6,29,2001,35
Australia/South Pacific,Australia,,Canberra,6,18,2001,35.5
Australia/South Pacific,Australia,,Canberra,8,1,2001,35.8
Australia/South Pacific,Australia,,Canberra,7,11,2002,35.9
Australia/South Pacific,Australia,,Canberra,7,20,2004,36
Australia/South Pacific,Australia,,Canberra,7,27,2003,36.1
Australia/South Pacific,Australia,,Canberra,7,19,2004,36.1
Australia/South Pacific,Australia,,Canberra,6,8,2000,36.2
Australia/South Pacific,Australia,,Canberra,7,14,2004,36.2
Australia/South Pacific,Australia,,Canberra,5,28,2000,36.3
Australia/South Pacific,Australia,,Canberra,7,30,2003,36.4
Australia/South Pacific,Australia,,Canberra,6,7,2000,36.5
Australia/South Pacific,Australia,,Canberra,7,6,2001,36.5
Australia/South Pacific,Australia,,Canberra,6,3,2000,36.7
Australia/South Pacific,Australia,,Canberra,7,28,2000,37
Australia/South Pacific,Australia,,Canberra,6,2,2000,37.1
Australia/South Pacific,Australia,,Canberra,6,5,2004,37.1
Australia/South Pacific,Australia,,Canberra,7,21,2002,37.2
Australia/South Pacific,Australia,,Canberra,7,27,2002,37.2
Australia/South Pacific,Australia,,Canberra,6,24,2000,37.4
Australia/South Pacific,Australia,,Canberra,7,1,2002,37.4
Australia/South Pacific,Australia,,Canberra,7,2,2002,37.4
Australia/South Pacific,Australia,,Canberra,7,30,2004,37.5
Australia/South Pacific,Australia,,Canberra,7,26,2003,37.6
Australia/South Pacific,Australia,,Canberra,7,13,2000,37.7
Australia/South Pacific,Australia,,Canberra,6,2,2001,37.8
Australia/South Pacific,Australia,,Canberra,6,14,2000,37.9
Australia/South Pacific,Australia,,Canberra,8,16,2000,37.9
Australia/South Pacific,Australia,,Canberra,6,24,2002,37.9
Australia/South Pacific,Australia,,Canberra,7,12,2002,37.9
Australia/South Pacific,Australia,,Canberra,7,15,2004,38
Australia/South Pacific,Australia,,Canberra,5,27,2000,38.1
Australia/South Pacific,Australia,,Canberra,7,17,2002,38.2
Australia/South Pacific,Australia,,Canberra,8,1,2003,38.2
Australia/South Pacific,Australia,,Canberra,7,17,2004,38.2
Australia/South Pacific,Australia,,Canberra,7,30,2000,38.3
Australia/South Pacific,Australia,,Canberra,7,19,2001,38.3
Australia/South Pacific,Australia,,Canberra,7,7,2004,38.4
Australia/South Pacific,Australia,,Canberra,5,30,2000,38.5
Australia/South Pacific,Australia,,Canberra,7,29,2000,38.5
Australia/South Pacific,Australia,,Canberra,8,2,2001,38.5
Australia/South Pacific,Australia,,Canberra,8,2,2003,38.7
Australia/South Pacific,Australia,,Canberra,8,9,2003,38.7
Australia/South Pacific,Australia,,Canberra,7,26,2000,38.8
Australia/South Pacific,Australia,,Canberra,6,19,2001,38.8
Australia/South Pacific,Australia,,Canberra,6,29,2002,38.8
Australia/South Pacific,Australia,,Canberra,8,15,2003,38.8
Australia/South Pacific,Australia,,Canberra,6,4,2004,38.9
Australia/South Pacific,Australia,,Canberra,5,31,2000,39
Australia/South Pacific,Australia,,Canberra,7,13,2004,39
Australia/South Pacific,Australia,,Canberra,7,16,2004,39.1
Australia/South Pacific,Australia,,Canberra,6,30,2002,39.2
Australia/South Pacific,Australia,,Canberra,7,10,2002,39.2
Australia/South Pacific,Australia,,Canberra,7,18,2004,39.2
Australia/South Pacific,Australia,,Canberra,7,10,2000,39.3
Australia/South Pacific,Australia,,Canberra,7,8,2001,39.3
Australia/South Pacific,Australia,,Canberra,6,6,2000,39.4
Australia/South Pacific,Australia,,Canberra,7,31,2000,39.4
Australia/South Pacific,Australia,,Canberra,7,21,2001,39.4
Australia/South Pacific,Australia,,Canberra,6,26,2002,39.4
Australia/South Pacific,Australia,,Canberra,7,15,2002,39.4
Australia/South Pacific,Australia,,Canberra,7,31,2003,39.5
Australia/South Pacific,Australia,,Canberra,6,14,2001,39.6
Australia/South Pacific,Australia,,Canberra,8,19,2003,39.6
Australia/South Pacific,Australia,,Canberra,6,5,2000,39.7
Australia/South Pacific,Australia,,Canberra,7,2,2001,39.7
Australia/South Pacific,Australia,,Canberra,5,29,2000,39.8
Australia/South Pacific,Australia,,Canberra,5,27,2004,39.8
Australia/South Pacific,Australia,,Canberra,5,22,2000,39.9
Australia/South Pacific,Australia,,Canberra,5,30,2001,39.9
Australia/South Pacific,Australia,,Canberra,8,24,2001,39.9
Australia/South Pacific,Australia,,Canberra,7,14,2002,39.9
Australia/South Pacific,Australia,,Canberra,7,21,2004,39.9
Australia/South Pacific,Australia,,Canberra,6,30,2001,40
Australia/South Pacific,Australia,,Canberra,7,5,2003,40
Australia/South Pacific,Australia,,Canberra,6,9,2000,40.2
Australia/South Pacific,Australia,,Canberra,7,31,2002,40.2
Australia/South Pacific,Australia,,Canberra,8,15,2004,40.2
Australia/South Pacific,Australia,,Sydney,8,9,2003,40.2
Australia/South Pacific,Australia,,Canberra,7,29,2003,40.3
Australia/South Pacific,Australia,,Canberra,7,13,2002,40.4
Australia/South Pacific,Australia,,Canberra,7,3,2003,40.4
Australia/South Pacific,Australia,,Canberra,6,26,2000,40.5
Australia/South Pacific,Australia,,Canberra,8,11,2000,40.5
Australia/South Pacific,Australia,,Canberra,6,28,2002,40.5
Australia/South Pacific,Australia,,Canberra,7,8,2004,40.5
Australia/South Pacific,Australia,,Canberra,8,15,2000,40.6
Australia/South Pacific,Australia,,Canberra,7,25,2002,40.6
Australia/South Pacific,Australia,,Canberra,7,26,2002,40.6
Australia/South Pacific,Australia,,Canberra,6,27,2001,40.7
Australia/South Pacific,Australia,,Canberra,6,28,2001,40.7
Australia/South Pacific,Australia,,Canberra,7,19,2002,40.7
Australia/South Pacific,Australia,,Canberra,6,26,2004,40.7
Australia/South Pacific,Australia,,Canberra,7,26,2004,40.7
Australia/South Pacific,Australia,,Canberra,8,17,2000,40.8
Australia/South Pacific,Australia,,Canberra,7,18,2002,40.8
Australia/South Pacific,Australia,,Canberra,8,16,2003,40.8
Australia/South Pacific,Australia,,Canberra,8,23,2002,40.9
Australia/South Pacific,Australia,,Canberra,9,10,2002,40.9
Australia/South Pacific,Australia,,Canberra,7,28,2003,40.9
Australia/South Pacific,Australia,,Canberra,6,15,2001,41
Australia/South Pacific,Australia,,Canberra,8,23,2001,41
Australia/South Pacific,Australia,,Canberra,5,30,2002,41
Australia/South Pacific,Australia,,Canberra,8,13,2002,41
Australia/South Pacific,Australia,,Canberra,6,19,2004,41
Australia/South Pacific,Australia,,Canberra,6,22,2004,41
Australia/South Pacific,Australia,,Canberra,8,3,2004,41
Australia/South Pacific,Australia,,Canberra,8,7,2004,41
Australia/South Pacific,Australia,,Canberra,6,25,2000,41.1
Australia/South Pacific,Australia,,Canberra,7,9,2000,41.1
Australia/South Pacific,Australia,,Canberra,7,11,2000,41.1
Australia/South Pacific,Australia,,Canberra,7,7,2001,41.1
Australia/South Pacific,Australia,,Canberra,8,24,2002,41.1
Australia/South Pacific,Australia,,Canberra,9,1,2003,41.1
Australia/South Pacific,Australia,,Canberra,8,28,2000,41.2
Australia/South Pacific,Australia,,Canberra,6,17,2001,41.2
Australia/South Pacific,Australia,,Canberra,7,18,2003,41.2
Australia/South Pacific,Australia,,Canberra,7,22,2000,41.3
Australia/South Pacific,Australia,,Canberra,6,23,2003,41.3
Australia/South Pacific,Australia,,Canberra,6,6,2004,41.3
Australia/South Pacific,Australia,,Canberra,6,26,2001,41.4
Australia/South Pacific,Australia,,Canberra,6,2,2002,41.4
Australia/South Pacific,Australia,,Canberra,8,20,2002,41.4
