Region,Country,State,City,Month,Day,Year,AvgTemperature
Middle East,Turkey,,Ankara,1,27,2000,4.8
Middle East,Turkey,,Ankara,1,23,2000,5.1
Middle East,Turkey,,Ankara,1,21,2000,5.8
Middle East,Turkey,,Ankara,1,29,2000,6.7
Middle East,Turkey,,Ankara,1,9,2004,6.8
Middle East,Turkey,,Ankara,1,13,2002,7.2
Middle East,Turkey,,Ankara,1,14,2002,7.5
Middle East,Turkey,,Ankara,1,12,2002,8.4
Middle East,Turkey,,Ankara,1,8,2004,8.4
Middle East,Turkey,,Ankara,1,10,2004,8.4
Middle East,Turkey,,Ankara,1,28,2000,9.1
Middle East,Turkey,,Ankara,1,15,2002,9.3
Middle East,Turkey,,Ankara,1,3,2002,10.8
Middle East,Turkey,,Ankara,1,4,2002,11.4
Middle East,Turkey,,Ankara,1,9,2002,11.7
Middle East,Turkey,,Ankara,1,17,2002,11.9
Middle East,Turkey,,Ankara,1,26,2000,12
Middle East,Turkey,,Ankara,12,26,2002,12.2
Middle East,Turkey,,Ankara,1,7,2002,12.5
Middle East,Turkey,,Ankara,1,15,2000,12.9
Middle East,Turkey,,Ankara,1,10,2002,13.8
Middle East,Turkey,,Ankara,2,15,2004,14.4
Middle East,Turkey,,Ankara,12,27,2002,14.5
Middle East,Turkey,,Ankara,2,9,2000,14.7
Middle East,Turkey,,Ankara,12,22,2002,15
Middle East,Turkey,,Ankara,1,14,2000,15.2
Middle East,Turkey,,Ankara,1,30,2000,15.3
Middle East,Turkey,,Ankara,1,16,2002,15.3
Middle East,Turkey,,Ankara,2,8,2000,15.4
Middle East,Turkey,,Ankara,1,20,2000,15.9
Middle East,Turkey,,Ankara,2,14,2004,16.1
Middle East,Turkey,,Ankara,2,7,2000,16.4
Middle East,Turkey,,Ankara,12,20,2001,16.6
Middle East,Turkey,,Ankara,12,18,2002,17.2
Middle East,Turkey,,Ankara,1,24,2004,17.4
Middle East,Turkey,,Ankara,1,5,2002,17.7
Middle East,Turkey,,Ankara,1,17,2000,17.8
Middle East,Turkey,,Ankara,12,21,2001,17.8
Middle East,Turkey,,Ankara,12,25,2000,17.9
Middle East,Turkey,,Ankara,1,11,2002,18.2
Middle East,Turkey,,Ankara,12,17,2002,18.2
Middle East,Turkey,,Ankara,1,7,2004,18.6
Middle East,Turkey,,Ankara,1,16,2000,18.7
Middle East,Turkey,,Ankara,1,22,2000,18.8
Middle East,Turkey,,Ankara,12,13,2002,18.8
Middle East,Turkey,,Ankara,12,21,2002,18.8
Middle East,Turkey,,Ankara,1,18,2002,19.1
Middle East,Turkey,,Ankara,1,24,2000,19.2
Middle East,Turkey,,Ankara,2,10,2000,19.2
Middle East,Turkey,,Ankara,12,16,2004,19.3
Middle East,Turkey,,Ankara,1,13,2000,19.4
Middle East,Turkey,,Ankara,12,15,2001,19.5
Middle East,Turkey,,Ankara,12,16,2001,19.5
Middle East,Turkey,,Ankara,12,25,2002,19.5
Middle East,Turkey,,Ankara,12,17,2004,19.9
Middle East,Turkey,,Ankara,1,24,2002,20.1
Middle East,Turkey,,Ankara,12,26,2000,20.4
Middle East,Turkey,,Ankara,2,21,2003,20.5
Middle East,Turkey,,Ankara,2,16,2004,20.5
