Region,Country,State,City,Month,Day,Year,AvgTemperature
Middle East,Turkey,,Ankara,1,25,2016,7.6
Middle East,Turkey,,Ankara,1,9,2015,8.5
Middle East,Turkey,,Ankara,1,26,2016,10
Middle East,Turkey,,Ankara,1,24,2016,12.8
Middle East,Turkey,,Ankara,1,27,2016,13
Middle East,Turkey,,Ankara,1,9,2019,13
Middle East,Turkey,,Ankara,1,8,2015,13.3
Middle East,Turkey,,Ankara,1,3,2017,14
Middle East,Turkey,,Ankara,2,1,2017,14.1
Middle East,Turkey,,Ankara,1,2,2017,14.5
Middle East,Turkey,,Ankara,1,31,2017,15.5
Middle East,Turkey,,Ankara,2,2,2017,15.8
Middle East,Turkey,,Ankara,1,1,2016,15.9
Middle East,Turkey,,Ankara,1,14,2017,16.2
Middle East,Turkey,,Ankara,1,23,2016,16.5
Middle East,Turkey,,Ankara,12,29,2018,16.5
Middle East,Turkey,,Ankara,1,2,2016,16.7
Middle East,Turkey,,Ankara,1,10,2019,16.7
Middle East,Turkey,,Ankara,1,10,2015,16.8
Middle East,Turkey,,Ankara,12,27,2018,17.1
Middle East,Turkey,,Ankara,1,30,2017,18.1
Middle East,Turkey,,Ankara,12,19,2016,19
Middle East,Turkey,,Ankara,12,20,2016,19.7
Middle East,Turkey,,Ankara,1,9,2017,19.7
Middle East,Turkey,,Ankara,1,10,2017,19.7
Middle East,Turkey,,Ankara,1,13,2017,19.7
Middle East,Turkey,,Ankara,12,18,2016,20.1
Middle East,Turkey,,Ankara,1,4,2017,20.6
Middle East,Turkey,,Ankara,1,11,2020,20.9
Middle East,Turkey,,Ankara,2,9,2020,21.3
Middle East,Turkey,,Ankara,12,15,2016,21.5
Middle East,Turkey,,Ankara,1,27,2017,21.5
Middle East,Turkey,,Ankara,2,8,2020,21.9
Middle East,Turkey,,Ankara,2,18,2015,22
Middle East,Turkey,,Ankara,12,28,2018,22
Middle East,Turkey,,Ankara,2,3,2017,22.3
Middle East,Turkey,,Ankara,1,7,2019,22.4
Middle East,Turkey,,Ankara,1,12,2017,22.7
Middle East,Turkey,,Ankara,1,24,2017,22.7
Middle East,Turkey,,Ankara,12,14,2016,23.1
Middle East,Turkey,,Ankara,12,21,2016,23.3
Middle East,Turkey,,Ankara,1,28,2017,23.3
Middle East,Turkey,,Ankara,2,21,2015,23.4
Middle East,Turkey,,Ankara,1,3,2016,23.4
Middle East,Turkey,,Ankara,1,7,2015,23.5
Middle East,Turkey,,Ankara,12,26,2018,23.5
Middle East,Turkey,,Ankara,12,30,2018,23.7
Middle East,Turkey,,Ankara,1,11,2015,23.8
Middle East,Turkey,,Istanbul,1,7,2017,24.1
Middle East,Turkey,,Ankara,1,20,2016,24.2
Middle East,Turkey,,Ankara,2,14,2017,24.2
Middle East,Turkey,,Ankara,1,8,2017,24.3
Middle East,Turkey,,Ankara,1,22,2017,24.4
Middle East,Turkey,,Ankara,1,8,2019,24.5
Middle East,Turkey,,Ankara,1,10,2020,24.5
Middle East,Turkey,,Ankara,1,23,2017,24.6
Middle East,Turkey,,Ankara,1,29,2017,24.6
Middle East,Turkey,,Ankara,1,28,2016,24.7
Middle East,Turkey,,Ankara,12,20,2015,24.8
Middle East,Turkey,,Ankara,12,6,2016,24.8
Middle East,Turkey,,Ankara,2,17,2017,24.8
Middle East,Turkey,,Ankara,2,15,2017,24.9
Middle East,Turkey,,Ankara,2,10,2020,24.9
Middle East,Turkey,,Ankara,12,8,2016,25
Middle East,Turkey,,Ankara,1,1,2017,25.2
Middle East,Turkey,,Ankara,2,13,2017,25.3
Middle East,Turkey,,Ankara,12,16,2016,25.4
Middle East,Turkey,,Ankara,12,17,2016,25.4
Middle East,Turkey,,Ankara,12,21,2015,25.6
Middle East,Turkey,,Ankara,12,9,2016,25.7
Middle East,Turkey,,Istanbul,1,8,2015,25.7
Middle East,Turkey,,Ankara,12,22,2015,25.8
Middle East,Turkey,,Ankara,12,29,2015,26
Middle East,Turkey,,Ankara,12,30,2015,26.1
Middle East,Turkey,,Ankara,12,5,2016,26.1
Middle East,Turkey,,Ankara,2,16,2017,26.1
Middle East,Turkey,,Ankara,1,25,2018,26.2
Middle East,Turkey,,Ankara,12,19,2015,26.3
Middle East,Turkey,,Ankara,1,26,2017,26.3
Middle East,Turkey,,Ankara,1,24,2020,26.3
Middle East,Turkey,,Ankara,2,22,2015,26.4
Middle East,Turkey,,Ankara,12,23,2015,26.4
Middle East,Turkey,,Ankara,1,22,2020,26.4
Middle East,Turkey,,Ankara,1,25,2020,26.4
Middle East,Turkey,,Ankara,2,12,2017,26.5
Middle East,Turkey,,Ankara,12,7,2019,26.6
Middle East,Turkey,,Ankara,1,14,2015,26.7
Middle East,Turkey,,Ankara,1,1,2019,26.7
Middle East,Turkey,,Ankara,1,6,2019,26.8
Middle East,Turkey,,Ankara,1,15,2017,26.9
Middle East,Turkey,,Ankara,12,13,2018,26.9
Middle East,Turkey,,Ankara,1,23,2020,26.9
Middle East,Turkey,,Ankara,2,19,2015,27
Middle East,Turkey,,Ankara,2,8,2016,27
Middle East,Turkey,,Ankara,2,11,2020,27
Middle East,Turkey,,Istanbul,1,7,2015,27
Middle East,Turkey,,Ankara,2,17,2015,27.1
Middle East,Turkey,,Ankara,1,19,2016,27.1
Middle East,Turkey,,Ankara,12,25,2017,27.1
Middle East,Turkey,,Istanbul,1,8,2017,27.1
Middle East,Turkey,,Ankara,1,21,2017,27.2
Middle East,Turkey,,Ankara,1,19,2015,27.4
Middle East,Turkey,,Ankara,12,24,2015,27.4
Middle East,Turkey,,Ankara,12,31,2016,27.4
Middle East,Turkey,,Ankara,2,20,2015,27.5
Middle East,Turkey,,Ankara,12,25,2015,27.6
Middle East,Turkey,,Ankara,1,6,2015,27.8
Middle East,Turkey,,Ankara,1,20,2015,27.8
Middle East,Turkey,,Ankara,1,17,2019,27.8
Middle East,Turkey,,Ankara,12,31,2018,27.9
Middle East,Turkey,,Ankara,1,16,2019,27.9
Middle East,Turkey,,Ankara,1,26,2018,28
Middle East,Turkey,,Ankara,12,6,2019,28
Middle East,Turkey,,Ankara,1,15,2015,28.1
Middle East,Turkey,,Ankara,1,21,2016,28.1
Middle East,Turkey,,Ankara,1,20,2020,28.1
Middle East,Turkey,,Ankara,12,5,2015,28.2
Middle East,Turkey,,Ankara,12,26,2017,28.2
Middle East,Turkey,,Ankara,12,26,2015,28.3
Middle East,Turkey,,Ankara,1,21,2020,28.3
Middle East,Turkey,,Ankara,12,15,2015,28.4
Middle East,Turkey,,Ankara,1,26,2020,28.4
Middle East,Turkey,,Ankara,12,6,2015,28.5
Middle East,Turkey,,Ankara,2,7,2016,28.5
Middle East,Turkey,,Ankara,1,11,2017,28.5
Middle East,Turkey,,Ankara,12,27,2017,28.5
Middle East,Turkey,,Ankara,1,22,2016,28.7
Middle East,Turkey,,Ankara,12,7,2016,28.7
Middle East,Turkey,,Ankara,12,27,2015,28.8
Middle East,Turkey,,Ankara,1,15,2016,28.9
Middle East,Turkey,,Ankara,12,18,2019,29
Middle East,Turkey,,Ankara,3,18,2020,29
Middle East,Turkey,,Istanbul,1,1,2016,29
Middle East,Turkey,,Ankara,12,24,2017,29.1
Middle East,Turkey,,Ankara,1,24,2018,29.1
Middle East,Turkey,,Ankara,1,9,2020,29.2
Middle East,Turkey,,Ankara,1,19,2020,29.2
Middle East,Turkey,,Ankara,1,5,2019,29.3
Middle East,Turkey,,Ankara,3,17,2020,29.3
Middle East,Turkey,,Istanbul,1,9,2017,29.3
Middle East,Turkey,,Ankara,12,16,2015,29.4
Middle East,Turkey,,Ankara,11,17,2016,29.4
Middle East,Turkey,,Ankara,3,1,2018,29.5
Middle East,Turkey,,Ankara,1,18,2019,29.5
Middle East,Turkey,,Ankara,2,28,2019,29.5
Middle East,Turkey,,Ankara,12,28,2015,29.6
Middle East,Turkey,,Ankara,11,18,2016,29.6
Middle East,Turkey,,Ankara,12,4,2016,29.6
Middle East,Turkey,,Ankara,1,5,2017,29.6
Middle East,Turkey,,Ankara,1,18,2015,29.8
Middle East,Turkey,,Ankara,12,28,2016,29.8
Middle East,Turkey,,Ankara,12,8,2018,29.9
Middle East,Turkey,,Istanbul,2,18,2015,29.9
Middle East,Turkey,,Ankara,12,22,2016,30.1
Middle East,Turkey,,Ankara,12,30,2016,30.1
Middle East,Turkey,,Ankara,1,16,2020,30.1
Middle East,Turkey,,Ankara,12,13,2015,30.2
Middle East,Turkey,,Ankara,12,17,2019,30.2
Middle East,Turkey,,Ankara,1,14,2020,30.2
Middle East,Turkey,,Ankara,12,18,2015,30.3
Middle East,Turkey,,Istanbul,1,2,2016,30.3
Middle East,Syria,,Damascus,1,10,2015,30.5
Middle East,Turkey,,Ankara,1,27,2018,30.5
Middle East,Turkey,,Ankara,2,18,2017,30.6
Middle East,Turkey,,Ankara,1,18,2020,30.6
Middle East,Turkey,,Ankara,12,14,2015,30.7
Middle East,Turkey,,Ankara,1,4,2020,30.7
Middle East,Turkey,,Ankara,1,22,2015,30.8
Middle East,Turkey,,Ankara,1,13,2020,30.8
Middle East,Turkey,,Ankara,1,15,2018,31
Middle East,Turkey,,Ankara,1,17,2015,31.1
Middle East,Turkey,,Ankara,11,24,2016,31.1
Middle East,Turkey,,Ankara,12,14,2018,31.1
Middle East,Turkey,,Ankara,1,2,2019,31.1
Middle East,Turkey,,Ankara,1,17,2020,31.1
Middle East,Turkey,,Ankara,1,16,2015,31.2
Middle East,Turkey,,Ankara,2,9,2016,31.2
Middle East,Turkey,,Ankara,2,14,2020,31.2
Middle East,Turkey,,Ankara,2,23,2015,31.3
Middle East,Turkey,,Ankara,12,3,2015,31.3
Middle East,Turkey,,Ankara,12,15,2017,31.3
Middle East,Turkey,,Ankara,1,19,2018,31.3
Middle East,Turkey,,Ankara,11,25,2018,31.3
Middle East,Turkey,,Istanbul,1,9,2015,31.3
Middle East,Turkey,,Istanbul,1,18,2016,31.3
Middle East,Turkey,,Ankara,2,11,2015,31.4
Middle East,Turkey,,Ankara,1,16,2017,31.4
Middle East,Turkey,,Ankara,1,25,2017,31.4
Middle East,Turkey,,Ankara,2,27,2019,31.4
Middle East,Turkey,,Ankara,1,15,2020,31.4
Middle East,Turkey,,Ankara,2,7,2020,31.4
Middle East,Turkey,,Ankara,1,5,2015,31.5
Middle East,Turkey,,Ankara,1,12,2015,31.5
Middle East,Turkey,,Ankara,12,2,2016,31.5
Middle East,Turkey,,Ankara,12,10,2016,31.5
Middle East,Turkey,,Ankara,1,20,2018,31.5
Middle East,Turkey,,Ankara,1,19,2019,31.5
Middle East,Turkey,,Ankara,1,21,2019,31.5
Middle East,Turkey,,Ankara,12,8,2019,31.5
Middle East,Syria,,Damascus,1,28,2016,31.6
Middle East,Turkey,,Ankara,2,10,2015,31.6
Middle East,Turkey,,Ankara,12,26,2016,31.6
Middle East,Turkey,,Ankara,1,19,2017,31.6
Middle East,Turkey,,Ankara,12,6,2017,31.6
Middle East,Turkey,,Ankara,1,20,2019,31.6
Middle East,Turkey,,Istanbul,1,27,2017,31.6
Middle East,Turkey,,Ankara,1,29,2016,31.7
Middle East,Turkey,,Ankara,11,1,2016,31.7
Middle East,Turkey,,Ankara,1,11,2019,31.7
Middle East,Turkey,,Ankara,1,6,2020,31.8
Middle East,Turkey,,Ankara,1,3,2020,31.9
Middle East,Turkey,,Ankara,11,2,2016,32
Middle East,Turkey,,Ankara,11,25,2016,32
Middle East,Turkey,,Ankara,12,23,2016,32
Middle East,Turkey,,Ankara,12,28,2017,32
Middle East,Turkey,,Ankara,1,16,2018,32
Middle East,Turkey,,Ankara,1,31,2020,32
Middle East,Turkey,,Ankara,1,21,2015,32.1
Middle East,Turkey,,Ankara,11,26,2016,32.1
Middle East,Turkey,,Ankara,12,3,2016,32.1
Middle East,Turkey,,Ankara,12,9,2017,32.1
